"File","Lines"
"C:\Users\OCPCz\Desktop\AHP\src\lib\email.ts","1151"
"C:\Users\OCPCz\Desktop\AHP\src\components\AlgoliaSearch.tsx","1150"
"C:\Users\OCPCz\Desktop\AHP\src\app\page.tsx","987"
"C:\Users\OCPCz\Desktop\AHP\src\components\dashboard\PlanBasedAnalyticsDashboard.tsx","887"
"C:\Users\OCPCz\Desktop\AHP\src\components\dashboard\PlanBasedDashboard.tsx","724"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\venv\lib\python3.12\site-packages\pytest_html\resources\app.js","655"
"C:\Users\OCPCz\Desktop\AHP\src\app\pricing\page.tsx","525"
"C:\Users\OCPCz\Desktop\AHP\src\components\alerts\CreateAlertForm.tsx","478"
"C:\Users\OCPCz\Desktop\AHP\src\components\dashboard\DashboardAnalytics.tsx","458"
"C:\Users\OCPCz\Desktop\AHP\src\app\organization\members\page.tsx","452"
"C:\Users\OCPCz\Desktop\AHP\src\components\dashboard\AdvancedAnalytics.tsx","432"
"C:\Users\OCPCz\Desktop\AHP\src\app\subscription-flow\page.tsx","415"
"C:\Users\OCPCz\Desktop\AHP\src\app\organization\branding\page.tsx","397"
"C:\Users\OCPCz\Desktop\AHP\src\components\dashboard\ImprovedAnalyticsDashboard.tsx","385"
"C:\Users\OCPCz\Desktop\AHP\src\app\dashboard\alerts\page.tsx","379"
"C:\Users\OCPCz\Desktop\AHP\src\app\dashboard\tracked-vehicles\page.tsx","378"
"C:\Users\OCPCz\Desktop\AHP\src\components\VehicleTracking.tsx","376"
"C:\Users\OCPCz\Desktop\AHP\src\components\ImageGalleryModal.tsx","370"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\chart.tsx","365"
"C:\Users\OCPCz\Desktop\AHP\src\components\AlgoliaSearchPreview.tsx","359"
"C:\Users\OCPCz\Desktop\AHP\src\components\VehicleReport.tsx","356"
"C:\Users\OCPCz\Desktop\AHP\src\components\alerts\EditAlertForm.tsx","328"
"C:\Users\OCPCz\Desktop\AHP\src\app\why\page.tsx","325"
"C:\Users\OCPCz\Desktop\AHP\src\app\support\page.tsx","318"
"C:\Users\OCPCz\Desktop\AHP\src\components\ThreeBackground.tsx","318"
"C:\Users\OCPCz\Desktop\AHP\src\components\organization\OrganizationDashboard.tsx","316"
"C:\Users\OCPCz\Desktop\AHP\src\hooks\useVehicleInteraction.ts","313"
"C:\Users\OCPCz\Desktop\AHP\src\app\organization\billing\page.tsx","306"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\webhooks\stripe\route.ts","301"
"C:\Users\OCPCz\Desktop\AHP\src\app\inventory\page.tsx","296"
"C:\Users\OCPCz\Desktop\AHP\src\components\vehicles\VehicleStatusTracker.tsx","292"
"C:\Users\OCPCz\Desktop\AHP\src\app\marketing\page.tsx","278"
"C:\Users\OCPCz\Desktop\AHP\src\app\signup\page.tsx","270"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\carousel.tsx","262"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\menubar.tsx","256"
"C:\Users\OCPCz\Desktop\AHP\src\components\auth\SubscriptionGuard.tsx","240"
"C:\Users\OCPCz\Desktop\AHP\src\app\about\page.tsx","228"
"C:\Users\OCPCz\Desktop\AHP\src\app\settings\page.tsx","220"
"C:\Users\OCPCz\Desktop\AHP\src\app\copyright\page.tsx","216"
"C:\Users\OCPCz\Desktop\AHP\src\components\TawkTo.tsx","215"
"C:\Users\OCPCz\Desktop\AHP\src\app\organization\settings\page.tsx","212"
"C:\Users\OCPCz\Desktop\AHP\src\lib\vehicle-models.ts","207"
"C:\Users\OCPCz\Desktop\AHP\src\components\alerts\MyAlertsList.tsx","204"
"C:\Users\OCPCz\Desktop\AHP\src\app\privacy\page.tsx","203"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\dropdown-menu.tsx","200"
"C:\Users\OCPCz\Desktop\AHP\src\app\login\page.tsx","199"
"C:\Users\OCPCz\Desktop\AHP\src\app\subscription-success\page.tsx","196"
"C:\Users\OCPCz\Desktop\AHP\src\hooks\use-toast.ts","194"
"C:\Users\OCPCz\Desktop\AHP\src\components\Header.tsx","189"
"C:\Users\OCPCz\Desktop\AHP\src\components\subscription\SubscriptionStatus.tsx","181"
"C:\Users\OCPCz\Desktop\AHP\src\contexts\AuthContext.tsx","180"
"C:\Users\OCPCz\Desktop\AHP\src\lib\types.ts","178"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\form.tsx","178"
"C:\Users\OCPCz\Desktop\AHP\src\components\settings\PhoneNumberSettings.tsx","175"
"C:\Users\OCPCz\Desktop\AHP\src\hooks\useSubscription.ts","168"
"C:\Users\OCPCz\Desktop\AHP\src\components\BrowserWarning.tsx","164"
"C:\Users\OCPCz\Desktop\AHP\src\app\layout.tsx","162"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\select.tsx","160"
"C:\Users\OCPCz\Desktop\AHP\src\components\AutohiveFooter.tsx","157"
"C:\Users\OCPCz\Desktop\AHP\src\components\organization\OrganizationHeader.tsx","152"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\manage-enterprise-users\route.ts","143"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\alert-dialog.tsx","141"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\sheet.tsx","140"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\toast.tsx","129"
"C:\Users\OCPCz\Desktop\AHP\tailwind.config.ts","128"
"C:\Users\OCPCz\Desktop\AHP\src\app\dashboard\page.tsx","127"
"C:\Users\OCPCz\Desktop\AHP\src\lib\firebase.ts","126"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\dialog.tsx","122"
"C:\Users\OCPCz\Desktop\AHP\tamagui.config.ts","122"
"C:\Users\OCPCz\Desktop\AHP\src\contexts\OrganizationContext.tsx","122"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\table.tsx","117"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\combobox.tsx","113"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\create-upgrade-session\route.ts","113"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\venv\lib\python3.12\site-packages\urllib3\contrib\emscripten\emscripten_fetch_worker.js","110"
"C:\Users\OCPCz\Desktop\AHP\src\components\settings\GlobalAlertSettings.tsx","110"
"C:\Users\OCPCz\Desktop\AHP\src\components\alerts\PhoneNumberModal.tsx","110"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\create-checkout-session\route.ts","109"
"C:\Users\OCPCz\Desktop\AHP\src\components\VehicleCard.tsx","107"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\sync-subscription\route.ts","106"
"C:\Users\OCPCz\Desktop\AHP\src\components\AutohiveHeader.tsx","103"
"C:\Users\OCPCz\Desktop\AHP\test-all-emails.js","103"
"C:\Users\OCPCz\Desktop\AHP\src\lib\dataSource.ts","97"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\background.js","94"
"C:\Users\OCPCz\Desktop\AHP\src\lib\firebase-admin.ts","92"
"C:\Users\OCPCz\Desktop\AHP\src\lib\analytics.ts","88"
"C:\Users\OCPCz\Desktop\AHP\src\components\subscription\SubscribeButton.tsx","83"
"C:\Users\OCPCz\Desktop\AHP\src\lib\structured-data.ts","82"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\card.tsx","79"
"C:\Users\OCPCz\Desktop\AHP\src\hooks\useGeolocation.ts","78"
"C:\Users\OCPCz\Desktop\AHP\debug-tracked-vehicles.js","74"
"C:\Users\OCPCz\Desktop\AHP\src\components\UserNav.tsx","72"
"C:\Users\OCPCz\Desktop\AHP\src\lib\stripe.ts","72"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\calendar.tsx","70"
"C:\Users\OCPCz\Desktop\AHP\src\components\subscription\ManageSubscriptionButton.tsx","67"
"C:\Users\OCPCz\Desktop\AHP\src\app\create-alert\page.tsx","65"
"C:\Users\OCPCz\Desktop\AHP\src\hooks\useAlertLimits.ts","64"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\alert.tsx","59"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\accordion.tsx","58"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\button.tsx","56"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\send-invitation\route.ts","56"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\venv\lib\python3.12\site-packages\selenium\webdriver\remote\findElements.js","55"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\venv\lib\python3.12\site-packages\selenium\webdriver\common\mutation-listener.js","55"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\tabs.tsx","55"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\test-upgrade-email\route.ts","54"
"C:\Users\OCPCz\Desktop\AHP\src\app\sitemap.ts","50"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\avatar.tsx","50"
"C:\Users\OCPCz\Desktop\AHP\src\components\dashboard\ResponsiveChart.tsx","49"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\scroll-area.tsx","48"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\create-portal-session\route.ts","46"
"C:\Users\OCPCz\Desktop\AHP\src\app\sms-consent\page.tsx","46"
"C:\Users\OCPCz\Desktop\AHP\src\lib\browser-detection.ts","45"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\radio-group.tsx","44"
"C:\Users\OCPCz\Desktop\AHP\src\app\robots.ts","42"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\send-welcome-email\route.ts","41"
"C:\Users\OCPCz\Desktop\AHP\src\app\my-alerts\page.tsx","40"
"C:\Users\OCPCz\Desktop\AHP\src\lib\utils.ts","38"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\debug-subscription\route.ts","37"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\badge.tsx","36"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\toaster.tsx","35"
"C:\Users\OCPCz\Desktop\AHP\src\components\auth\ProtectedRoute.tsx","35"
"C:\Users\OCPCz\Desktop\AHP\next.config.ts","33"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\proxy-image\route.ts","33"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\popover.tsx","31"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\vehicle-report\route.ts","31"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\separator.tsx","31"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\checkbox.tsx","30"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\tooltip.tsx","30"
"C:\Users\OCPCz\Desktop\AHP\src\app\dashboard-dealership-vehicles\page.tsx","29"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\switch.tsx","29"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\progress.tsx","28"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\venv\lib\python3.12\site-packages\selenium\webdriver\remote\isDisplayed.js","28"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\slider.tsx","28"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\label.tsx","26"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\proxy_ext_dir\background.js","25"
"C:\Users\OCPCz\Desktop\AHP\src\app\organization\layout.tsx","23"
"C:\Users\OCPCz\Desktop\AHP\src\components\DataSourceIcon.tsx","23"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\input.tsx","22"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\textarea.tsx","21"
"C:\Users\OCPCz\Desktop\AHP\src\app\analytics\page.tsx","18"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\skeleton.tsx","15"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\popup.js","13"
"C:\Users\OCPCz\Desktop\AHP\src\components\TamaguiProvider.tsx","13"
"C:\Users\OCPCz\Desktop\AHP\src\hooks\useAuth.ts","11"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\collapsible.tsx","11"
"C:\Users\OCPCz\Desktop\AHP\src\ai\genkit.ts","7"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\options.js","7"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\venv\lib\python3.12\site-packages\selenium\webdriver\remote\getAttribute.js","6"
"C:\Users\OCPCz\Desktop\AHP\next-env.d.ts","5"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\__MACOSX\._popup.js","1"
"C:\Users\OCPCz\Desktop\AHP\src\components\alerts\CreateAlertForm-backup.tsx","1"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\__MACOSX\._options.js","1"
"C:\Users\OCPCz\Desktop\AHP\src\ai\dev.ts","1"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\__MACOSX\._background.js","1"
"C:\Users\OCPCz\Desktop\AHP\src\app\invite\[token]\page.tsx","0"
"C:\Users\OCPCz\Desktop\AHP\src\app\vehicle\[id]\page.tsx","0"
"C:\Users\OCPCz\Desktop\AHP\src\app\vehicle\[id]\VehicleDetailClient.tsx","0"
